"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BPB1_02548",34.6496745410099,-5.96343904203076,0.523271339131594,-10.4409292721778,1.61224651689434e-25,5.54612801811652e-23
"BPB1_02544",19.7309238868164,-5.65403533608399,0.633682146017876,-8.13347096564497,4.17170039026824e-16,4.10018552643508e-14
"BPB1_02549",31.0732924042209,-5.64246726345641,0.529859092777549,-9.70534871167225,2.8609632341345e-22,6.84640940898969e-20
"BPB1_02537",43.5224987151722,-5.52203550164022,0.455910298129029,-11.0154026400582,3.22093266456896e-28,1.47733444881563e-25
"BPB1_02539",150.936009589374,-5.34639326738068,0.371245336428367,-13.0544219464311,5.99634391060346e-39,6.60077537679229e-36
"BPB1_02543",29.3604717870902,-5.2418093672898,0.496050372909466,-9.55912872210506,1.18752198383051e-21,2.28030508114745e-19
"BPB1_02545",62.1225785450532,-4.83009454672405,0.406426717894093,-10.6540597753034,1.66922828876934e-26,6.56245178670462e-24
"BPB1_02541",82.5059621091727,-4.78359555107961,0.390072467076462,-10.981537823432,4.68873240552394e-28,1.98513716615414e-25
"BPB1_02547",139.380541515098,-4.63327604860587,0.332898687397387,-12.4160178609293,2.13948435893702e-35,1.96262031859823e-32
"BPB1_02540",23.0836628797404,-4.63321502014604,0.471749190275111,-8.7614671214076,1.92725382680853e-18,2.58722074701321e-16
"BPB1_02546",93.9899761549652,-4.52286367194624,0.346568452222033,-11.6077030270746,3.76596434503008e-31,2.5909834693807e-28
"BPB1_01520",215.836951159955,-4.00043092295952,0.251294187150315,-13.9296135842,4.18614151480261e-44,7.68017429915786e-41
"BPB1_03934",391.289087279559,3.94844300974918,0.564435770507385,6.10954016370949,9.99186090824477e-10,4.5450580528082e-08
"BPB1_02534",39.1743788023101,-3.90549687354113,0.422268285486057,-8.0647706460389,7.33734845000392e-16,6.9628906670382e-14
"BPB1_02532",87.9907435577359,-3.90055435933015,0.326771751859387,-10.4065126192225,2.31549099024406e-25,7.49674259429607e-23
"BPB1_03932",494.796449151358,3.9002898928489,0.499686397545425,6.80484781965632,1.0115610874575e-11,6.18625802818455e-10
"BPB1_02531",51.730919050644,-3.82135014202088,0.386279766342128,-8.59830214114596,8.09040708265251e-18,9.89546679620431e-16
"BPB1_02536",82.6777386612587,-3.81083913210221,0.318740291326242,-10.3872626781076,2.83369062292216e-25,8.66479621586865e-23
"BPB1_02527",14.3305962513205,-3.80424428340033,0.522081024808868,-6.32898750650821,2.46775087838507e-10,1.21272328880638e-08
"BPB1_03727",218.497726309155,3.71286243993729,0.503466704386472,6.38147947410446,1.75385233071829e-10,9.10679549837122e-09
"BPB1_01619",701.713578623718,3.71187006690214,0.336042781383566,9.55792013647229,1.20146888359877e-21,2.28030508114745e-19
"BPB1_05848",171.742876859774,-3.69316502890979,0.273346531369114,-11.6817470224193,1.58014069981787e-31,1.24244205882823e-28
"BPB1_03933",1328.75448123859,3.6688864212564,0.535969165795325,5.91244165427704,3.37073263511706e-09,1.39492574614168e-07
"BPB1_04011",9794.55802572844,-3.65093142487443,0.279148624128545,-11.2876480574142,1.51023868837967e-29,9.23594860093526e-27
"BPB1_01613",37.8085797464811,3.57383728975435,0.342659740147817,8.9705236116398,2.95108170379523e-19,4.27440886781288e-17
"BPB1_03726",920.767297117076,3.56863271856963,0.482666339009519,6.35766878806337,2.04838541430493e-10,1.05367414208732e-08
"BPB1_03935",864.856583626761,3.5439699997512,0.484674870836121,6.28043701646838,3.37622638346173e-10,1.64449115173215e-08
"BPB1_01700",115.753858800408,3.49746381954012,0.176215514985675,17.0102151322135,6.89840018199929e-65,1.8984397300862e-61
"BPB1_02196",45.5830079682608,-3.48704719495964,0.363783665982502,-8.21105364060881,2.19255900083164e-16,2.27695183784478e-14
"BPB1_02533",159.658611804666,-3.42128500843369,0.305143888831239,-9.57346719156915,1.03379339420251e-21,2.10740697840393e-19
"BPB1_03931",4546.55830921404,3.3965940195006,0.438463475858021,6.60623787154062,3.94209307372956e-11,2.26013336227162e-09
"BPB1_04013",155.923910871956,-3.38898528177369,0.309584190441008,-9.33182433398255,1.04064046170562e-20,1.78990159413367e-18
"BPB1_04012",1605.28827185291,-3.38629604504726,0.2726185780045,-10.587305040523,3.41275820818011e-26,1.25225474518822e-23
"BPB1_01624",1432.85273109324,3.35931706990644,0.496794984849688,5.75552724384197,8.63717904064174e-09,3.44485749562987e-07
"BPB1_01618",1003.2607312403,3.34794667292441,0.358533938818501,7.9433112589269,1.96854139659751e-15,1.74755674949559e-13
"BPB1_00053",40.7692731634286,-3.33979189271992,0.289986114263217,-9.79285473697639,1.20835146698122e-22,3.02307567012028e-20
"BPB1_01617",2211.04943962325,3.30473559666883,0.348992518966467,8.03666395192364,9.23173991237111e-16,8.6121180470662e-14
"BPB1_03031",258.532643563703,-3.30336236217613,0.398996332674317,-7.02603541086777,2.12484555414777e-12,1.37589999176815e-10
"BPB1_02525",20.6805748290326,-3.28578238942914,0.403959925933936,-6.89618501881972,5.3417615573059e-12,3.30348939454064e-10
"BPB1_02528",8.76861333144944,-3.28375557544288,0.509419170843385,-5.46456775632167,4.64036114314297e-08,1.66931684521954e-06
"BPB1_03725",2246.82293116969,3.25667761633764,0.385377268458208,7.15319205869711,8.47828504806712e-13,5.83306011307018e-11
"BPB1_01621",8874.09013403022,3.24760417272581,0.38885332381468,7.06591407210207,1.59562134372599e-12,1.05810841877926e-10
"BPB1_01620",873.021497496048,3.24446309320702,0.364169886531007,7.53621646026283,4.83803257906383e-14,3.75049736833342e-12
"BPB1_01627",1578.89313392553,3.2415455893277,0.539212302032392,5.08435282168879,3.68881676117873e-07,1.17359811870102e-05
"BPB1_01615",755.481788734881,3.23481603789704,0.283938223813629,9.63172904713287,5.87327568367206e-22,1.29306037451724e-19
"BPB1_03724",7429.91994629556,3.20771435370639,0.400331936026331,6.76367311732106,1.3453644266486e-11,8.048788917689e-10
"BPB1_02557",142.891888129441,-3.17705751388529,0.241050295093718,-11.1058047568225,1.17553581747122e-28,5.88195376305598e-26
"BPB1_01622",1098.47464642596,3.16473796320792,0.411586401996975,6.47431001189274,9.52461697566569e-11,5.24234918340639e-09
"BPB1_02550",35.5150892942291,-3.10760721715963,0.347138823078698,-7.51171302026473,5.83586121160462e-14,4.46119168175998e-12
"BPB1_01623",1753.52372977671,3.08183991693045,0.486145282501958,5.31084021558936,1.09120972113026e-07,3.68467380681039e-06
"BPB1_01616",446.15505845844,3.0773102691143,0.294126807728131,8.7625819931945,1.90828216308324e-18,2.58722074701321e-16
