"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BPB1_00862",1014.89571137458,-7.63357829707011,0.587360815897523,-12.1451382250782,6.08796205685278e-34,4.57038310934745e-32
"BPB1_03081",1068.30461723107,7.30489335389226,0.175458377270635,38.7835192582231,0,0
"BPB1_02549",49.3477502634995,-7.07190387736679,0.819978351513649,-8.01472851720451,1.10380554213869e-15,3.09065551798834e-14
"BPB1_00860",966.955284258825,-6.95234117496077,0.620414265940394,-10.4000528826987,2.47795637025015e-25,1.19960878485007e-23
"BPB1_00861",162.621864100701,-6.92571279016448,0.723356111869334,-8.88319416222091,6.49674249576842e-19,2.28932830803268e-17
"BPB1_05049",2642.54500642733,6.85175484192219,0.135691843750979,46.8101447097946,0,0
"BPB1_01606",18160.143992395,6.75592792923794,0.0857121979036989,72.9876036578449,0,0
"BPB1_01605",4700.43563181561,6.63156984545392,0.118205134568424,51.8722800649969,0,0
"BPB1_01607",5168.27558831478,6.5937917631229,0.10653645847354,57.199120849661,0,0
"BPB1_05331",7372.4343969199,6.51055146056555,0.110807466781722,54.2431989028829,0,0
"BPB1_03740",18141.02331627,6.26500696792926,0.0803662630518281,71.7341674106635,0,0
"BPB1_02545",95.4309319682073,-6.21391044289725,0.60476435615014,-9.4481600722492,3.44838704020033e-21,1.40650746993998e-19
"BPB1_02539",242.458884315744,-5.9654469006406,0.507680085626312,-10.7655333651664,5.00707766422775e-27,2.67388271141234e-25
"BPB1_00882",527.805478191873,-5.91275584450325,0.622951003594083,-8.6888949745239,3.65981797308188e-18,1.19986437345343e-16
"BPB1_02548",59.2452527800422,-5.8087042087964,0.668763740111301,-7.93808618857369,2.05324649417085e-15,5.5684904920445e-14
"BPB1_02541",132.906055036915,-5.76543684653934,0.519621386817671,-10.1332181086436,3.93481931952963e-24,1.88725593288551e-22
"BPB1_02543",47.7085983621472,-5.63541149399376,0.694929136296395,-7.38983476986271,1.47011383033607e-13,3.28240932807796e-12
"BPB1_00864",602.108048455272,-5.62525896728797,0.548835275634768,-9.3384284772152,9.77745141454338e-21,3.83690896419202e-19
"BPB1_00818",577.181238187669,5.56733772114647,0.3084939184391,16.4260538644843,1.24501827926832e-60,1.4331543748022e-58
"BPB1_00847",216.05265810756,-5.55324212469922,0.542755285440299,-9.31035083444628,1.27410792048574e-20,4.9252828568031e-19
"BPB1_01601",456.073066744439,5.47324862005677,0.269139115621912,18.4783568474053,3.0843228264584e-76,4.56479778315843e-74
"BPB1_01604",1110.94735058153,5.40813572094331,0.0962481299484927,50.9946086596167,0,0
"BPB1_00819",1770.45823863787,5.39329652564148,0.28149901459502,17.3829969979869,1.1099806140796e-67,1.51307883708746e-65
"BPB1_02537",70.8176480098854,-5.34361994041002,0.584438761316901,-8.28764322458014,1.15514461648425e-16,3.43887880079793e-15
"BPB1_00881",981.689761265822,-5.30900823943255,0.564457573233811,-8.51969832184455,1.59969459261899e-17,5.052693896199e-16
"BPB1_03030",1832.0741472478,-5.26468577543238,0.471369619234334,-10.1081732487806,5.08230486710357e-24,2.39330356469059e-22
"BPB1_02540",36.82537263358,-5.25789787053396,0.601423059072838,-7.91106659240634,2.55192970044092e-15,6.77897222988922e-14
"BPB1_01223",209.482904722789,-5.21692185819936,0.588109671547972,-8.02047999956179,1.05332737727211e-15,2.98154962528389e-14
"BPB1_00880",21.4451122326024,-5.20927847676709,1.06593822454367,-4.41796566473929,9.96342435081818e-06,0.000113181004686926
"BPB1_01875",3548.88805512189,5.17283697541814,0.0819535117695182,57.0181420481379,0,0
"BPB1_02547",221.196114041886,-5.16183194707824,0.400608608888528,-11.6368741051579,2.6764604827338e-31,1.69073967080013e-29
"BPB1_00879",11.1353790984815,-5.10591390700946,1.12511882881774,-4.09371329413206,4.24519191571209e-05,0.000445143605736612
"BPB1_02527",19.6326704014237,-5.07013758044829,0.707949516537477,-6.45545688455365,1.07892895891161e-10,1.84450561292479e-09
"BPB1_02185",939.481775428861,-5.06751812701626,0.581825586727433,-7.85032186828868,4.14970885872834e-15,1.07477459441064e-13
"BPB1_00820",9630.7784467431,4.98364561531918,0.322657629089366,13.8959851281785,6.69953504363441e-44,6.4265910233382e-42
"BPB1_05994",121.888476883987,-4.91719415527927,0.607180155783779,-7.27493168741216,3.46595797597877e-13,7.41886872544217e-12
"BPB1_02498",1195.77526200992,-4.91369932823409,0.473463720715676,-9.32214895274861,1.14007411499105e-20,4.44028865838621e-19
"BPB1_04113",1995.62873716026,4.86522291766564,0.292651039453403,14.91613672659,2.58831504327614e-50,2.73621876003477e-48
"BPB1_02546",147.141769593954,-4.85934356507948,0.407117513776814,-10.707826162127,9.35322815769315e-27,4.84497218568505e-25
"BPB1_00883",135.364489569957,-4.82101132324981,0.740104257984647,-5.83838192610351,5.27102174329794e-09,8.07807474268737e-08
"BPB1_05986",366.396326943365,-4.816648274665,0.552902992903206,-7.80724345874665,5.8452292525531e-15,1.48422978079535e-13
"BPB1_00865",181.989416794723,-4.66885761216565,0.675356226252158,-6.17282768724948,6.70793075871105e-10,1.09959118133301e-08
"BPB1_05744",120.921594782372,-4.64224051004751,0.578379385161628,-7.1618052377333,7.96214912693211e-13,1.65638283042202e-11
"BPB1_03548",3747.03606351818,4.63920579188723,0.118523039328166,34.9232167462954,3.30330813641204e-267,9.50618674811909e-265
"BPB1_02531",75.1640204227654,-4.62248203205135,0.472506208513979,-8.72471505721895,2.66851703251678e-18,8.97592092755644e-17
"BPB1_03029",282.686695750949,-4.60323988105531,0.614039931586883,-6.68236652044954,2.35114084735187e-11,4.24352250497654e-10
"BPB1_00872",307.88551491892,-4.59683112879628,0.56330927004019,-7.27279195761146,3.52132429295753e-13,7.50636207305351e-12
"BPB1_05945",4879.92672796386,4.51450452987383,0.197331313831588,20.3439811549625,5.24914777323669e-92,8.77115660173099e-90
"BPB1_03580",1367.07588416856,4.45801113734267,0.0746277019973578,53.0367548699651,0,0
"BPB1_00107",690.288261668455,4.40309305959031,0.0922077954154023,42.3293176244656,0,0
"BPB1_05987",38.5064187249398,-4.39236608407298,0.732503458857412,-5.31378526204428,1.07371139180672e-07,1.45979659043538e-06
"BPB1_03581",1639.635897715,4.38983367369482,0.0873687528990985,44.5220235452732,0,0
"BPB1_00108",3282.0081667758,4.38446158754256,0.0799635463181311,48.577905388143,0,0
"BPB1_00866",251.239660547658,-4.3783795410901,0.684891684088445,-5.66276337002401,1.48954503913076e-08,2.17347698667531e-07
"BPB1_00887",183.918109426802,-4.34700386855441,0.500649357460777,-7.68402837480081,1.54162496755151e-14,3.78465276394163e-13
"BPB1_05745",173.168557685572,-4.33184772048812,0.538299275233519,-7.11843373525969,1.09160394864656e-12,2.23498357865185e-11
"BPB1_00141",645.133569712463,4.32015698508259,0.24772484302793,15.420968435741,1.18316715318677e-53,1.30400124542712e-51
"BPB1_00846",167.420684380511,-4.29977888868132,0.520563861188247,-7.29935205261442,2.89156819014893e-13,6.29341311973591e-12
"BPB1_02563",31.8990490868322,-4.29884023170986,0.492516514840324,-7.71312253953851,1.22776098868778e-14,3.04296742650848e-13
"BPB1_02558",205.9392580768,-4.29662543128053,0.293818576926026,-12.9216657129083,3.39706689076245e-38,2.88472237609008e-36
"BPB1_02186",1063.88413560706,-4.28111690764398,0.487124736357875,-7.76211229984863,8.35263937796447e-15,2.10032388242019e-13
"BPB1_03547",7107.89894186823,4.2691375456066,0.081043331204772,46.5076828602113,0,0
"BPB1_05760",186.780797890188,-4.22862692225265,0.394965016385186,-9.44039792784164,3.7136635511604e-21,1.50287321836022e-19
"BPB1_03546",20973.7480863758,4.22014784575291,0.0517375981640307,71.9041466509216,0,0
"BPB1_00859",188.163825291751,-4.20638681133076,0.572352512848154,-6.47570636649597,9.43694104105072e-11,1.6186541255842e-09
"BPB1_00884",55.1607225157547,-4.19249810287842,0.715384101690608,-5.16156019424005,2.44900115652145e-07,3.22794554472802e-06
"BPB1_01239",49.6122300479122,-4.18456406731055,0.614729824088165,-5.99379422134904,2.05000750421499e-09,3.26739657594881e-08
"BPB1_01219",131.089399413427,-4.18331500357126,0.558056332162319,-6.60025662516793,4.10446670299107e-11,7.20716526152331e-10
"BPB1_02562",33.7610377243504,-4.16152798350721,0.367042829266321,-9.97575130626095,1.94622874032927e-23,8.84339024114527e-22
"BPB1_02532",131.513754785304,-4.12194478069579,0.381490427183582,-9.49419571923577,2.21917823709104e-21,9.12328830804096e-20
"BPB1_04765",41.5357311639045,-4.10533507513253,0.645326359217648,-5.58683993553805,2.31238671732745e-08,3.33653570912429e-07
"BPB1_02533",231.910645219452,-4.09471270467793,0.384232286270867,-9.35557170264399,8.31488104979903e-21,3.31316029522761e-19
"BPB1_00821",1518.47343269715,4.07313745182667,0.298836944745817,11.9568129531839,5.98137857156348e-33,4.3032695834304e-31
"BPB1_02557",126.144981138284,-4.06104458360205,0.287691195123011,-12.3780103248534,3.43759470221968e-35,2.6979909935603e-33
"BPB1_00871",81.2567455398362,-4.06078733034153,0.638696877048162,-5.57508179278763,2.47413591384442e-08,3.56000667603169e-07
"BPB1_04112",582.768434843173,4.05569134539386,0.276287992102585,12.8695109705443,6.68238940802359e-38,5.58302856992939e-36
"BPB1_01309",9290.57208412306,4.02865384596006,0.102794395490622,34.3272979924472,3.07308262291114e-258,8.37819367719986e-256
"BPB1_05848",326.144037607556,-3.97982616752517,0.313686435163229,-11.0933268941464,1.35165469550724e-28,7.77952369191943e-27
"BPB1_01221",23.1453121937501,-3.97753667951381,0.612863821858633,-5.67424043561174,1.39305361967355e-08,2.04419766286374e-07
"BPB1_00260",164.772077062413,-3.96569576142041,0.594110040826486,-5.83342398421538,5.43013518283194e-09,8.29737470415028e-08
"BPB1_02534",59.2633125295386,-3.93742311492365,0.481983532658512,-7.13182688205882,9.90454017719201e-13,2.04404454652807e-11
"BPB1_00857",26.1694025492814,-3.8965534412761,0.766525328989111,-4.43110398681209,9.37518618773928e-06,0.00010673288890657
"BPB1_01308",641.715714645974,3.85900890180424,0.0897725140310329,37.4168968983433,2.07575503419678e-306,6.72025692321207e-304
"BPB1_05992",162.063076016155,-3.8338927052219,0.501671170380258,-6.64557363879385,3.02038405723437e-11,5.39503083326691e-10
"BPB1_02536",124.007133249174,-3.82591376359508,0.39211383345906,-8.48201078308128,2.21335048986666e-17,6.90672020331884e-16
"BPB1_01306",713.334991318555,3.77181389666603,0.0958021026139191,34.1517963321889,1.25751841651786e-255,3.25697269878125e-253
"BPB1_00863",21.0585129742344,-3.74709772200986,0.63636976829133,-5.10253296715902,3.3513734239852e-07,4.35090584868254e-06
"BPB1_01222",31.0585170939888,-3.72944511369775,0.488501756425262,-6.61091812101157,3.81943710115681e-11,6.72948441632391e-10
"BPB1_05761",82.9716982200641,-3.71693146034854,0.563504020392907,-5.70879948310842,1.13775836981983e-08,1.68388238733334e-07
"BPB1_05748",73.0131496859971,-3.69902253426401,0.537511072877675,-5.95154722513415,2.65619352697392e-09,4.20767048003819e-08
"BPB1_04380",46.6824431034614,-3.69626525357068,0.523768688413953,-6.10243667533741,1.04463502915052e-09,1.70163819213827e-08
"BPB1_04001",718.229428810096,-3.67444488674121,0.267119133127146,-11.8840041504261,1.43333155246195e-32,9.64241226201677e-31
"BPB1_01307",7877.45195605782,3.65941377784002,0.0989571467898222,31.9270904662438,1.12378005478796e-223,2.7719908018103e-221
"BPB1_02525",29.0780911447915,-3.65161182418705,0.485847147157503,-6.48683818074444,8.76563951617700e-11,1.5135337564599e-09
"BPB1_02345",1996.33571869193,-3.60587061867775,0.451539610321911,-6.87840124693273,6.05279863624863e-12,1.1569556064859e-10
"BPB1_04012",3221.01603662103,-3.60047434004065,0.312682239040095,-9.91573537901868,3.55627844516173e-23,1.57448908939639e-21
"BPB1_00858",76.9951950433581,-3.58398892028798,0.614631061894452,-5.01762620128949,5.23138364511639e-07,6.70756615883735e-06
"BPB1_04011",19835.6726956411,-3.58347243890634,0.321693016085567,-9.58513951103673,9.2332774343571e-22,3.82627016879758e-20
"BPB1_02561",24.1188283309411,-3.56242074128495,0.416118287089253,-7.35949569221429,1.84606314589441e-13,4.08658422894574e-12
"BPB1_00849",70.9418596612843,-3.55316353504629,0.448511152254101,-6.80733025188311,9.94265158688197e-12,1.86604837753799e-10
"BPB1_04000",603.800898956105,-3.48079686449265,0.274049300992896,-10.8768635924013,1.48587878272438e-27,8.18814052607689e-26
"BPB1_02184",537.18880060683,-3.47596501862336,0.543076883062588,-5.47982267601029,4.25752317339841e-08,5.96053244275778e-07
"BPB1_05991",46.686236650531,-3.45080797991348,0.504464032442177,-5.84939220667175,4.93372491537806e-09,7.60615924454118e-08
"BPB1_01876",963.535407004367,-3.44937203557092,0.204302615649758,-14.4362911174232,3.05863910150209e-47,3.10661775407467e-45
"BPB1_00259",8040.18075383058,-3.44584843217137,0.490100100933994,-6.01070766269462,1.84715230726328e-09,2.96230617697331e-08
