"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BPB1_00467",54.2941929597408,-8.10701918054943,0.846811574442092,-8.98313085241093,2.63169259362774e-19,7.00003512213674e-18
"BPB1_00478",38.4180241773711,-8.04467162318777,0.845624843635991,-8.92200800386543,4.579091280859e-19,1.19375314983588e-17
"BPB1_00546",32.8652291727394,-7.8460480653935,0.847927349980173,-8.66353475396834,4.57357028278138e-18,1.1412146800845e-16
"BPB1_02899",30.527352039677,-7.83888115892989,0.847157457266092,-8.66294818747579,4.59717380027555e-18,1.14166780632436e-16
"BPB1_00537",23.1115368879046,-7.7101363601125,0.858362920202857,-8.39986932148528,4.46975773281543e-17,1.06461502363422e-15
"BPB1_00545",28.2631943988814,-7.70442970973527,0.853181915941093,-8.44418942212166,3.06162399990532e-17,7.35913291720362e-16
"BPB1_04013",394.886596686326,-7.53175819019345,0.374538121233694,-18.7744792627022,1.22139599225059e-78,1.5238369046174e-76
"BPB1_04012",3987.96162748711,-7.50505968006751,0.234501647573226,-29.8721128510626,4.5325327694477e-196,3.95841195198432e-193
"BPB1_00504",20.3955983295418,-7.30677070695352,0.865024749058255,-7.86887394188894,3.57847518284132e-15,7.4706015769277e-14
"BPB1_00475",18.1488984656759,-7.22173108889686,0.847995373341601,-7.92661292762635,2.2520385009531e-15,4.73922961646354e-14
"BPB1_00516",16.9160472359964,-7.20856976565326,0.853118098961214,-7.86358860962139,3.73282076756306e-15,7.76189715159937e-14
"BPB1_02973",7317.47962683689,7.16637976944549,0.684309702935142,9.74175836007008,2.00062180003151e-22,6.24003466200306e-21
"BPB1_04347",3378.43390999009,-7.01000811428422,0.258665694403579,-25.1676517417385,9.05794696052339e-140,3.95530350609521e-137
"BPB1_00533",15.1779173036121,-6.99499945862235,0.857023411085632,-7.57855546839126,3.49423509205444e-14,6.85107733600234e-13
"BPB1_04348",953.526632911584,-6.92815753158862,0.281056841375359,-22.8713789713577,8.95580994444451e-116,2.34642220544446e-113
"BPB1_00558",13.874538177719,-6.92574257003021,0.8512820524527,-7.54831204477583,4.4093545837384e-14,8.55741408103305e-13
"BPB1_02974",1875.52908787796,6.80116656565765,0.751729126811887,8.3822301689721,5.19341506556565e-17,1.22583310556595e-15
"BPB1_00491",15.765138995326,-6.78032239777613,0.854913327829543,-7.34615099956464,2.03995910696246e-13,3.84510277715227e-12
"BPB1_00480",17.1815684002274,-6.68101950648075,0.854751670749952,-7.23136288351163,4.78170730686247e-13,8.88515825814162e-12
"BPB1_00517",11.7660125491113,-6.65600323712671,0.857223127783261,-7.18133125157956,6.90358576996738e-13,1.26929085735541e-11
"BPB1_04349",1511.17617720299,-6.62683856293943,0.263121231587957,-23.2852306367049,6.25750610131969e-120,1.72575431425869e-117
"BPB1_00535",11.0996926592557,-6.61782371352195,0.8654652184921,-7.06882677986879,1.56249039509557e-12,2.77540666789858e-11
"BPB1_03984",256.868894850621,-6.61135795589165,0.398603805646192,-15.3319107076369,4.6801469226574e-53,3.95547901205238e-51
"BPB1_04346",1777.37498356749,-6.61070672329042,0.253909769147977,-24.066449840806,5.61565753818094e-128,1.63478030555934e-125
"BPB1_02971",585.678904125303,6.60369398850117,0.734581692568015,8.3090744708915,9.645137981903e-17,2.22645475881814e-15
"BPB1_04350",680.387946528402,-6.58271271662511,0.290340440936684,-20.9502771883976,1.8654235629352e-97,3.62030350732608e-95
"BPB1_04152",1714.46226528137,-6.46523962680036,0.204538291775966,-29.164415010047,5.48462125384098e-187,4.10563076716096e-184
"BPB1_00468",12.8905209995577,-6.45455090048663,0.859554278917217,-6.92748677603885,4.28382571723949e-12,7.31180676167262e-11
"BPB1_04014",2684.47843615057,-6.42675939311245,0.174285363879436,-34.0060648879981,1.81232549024781e-253,3.16552852296617e-250
"BPB1_02975",185.047064572953,6.42243807627168,0.852864963484781,6.94416857279817,3.8069569952259e-12,6.54047693606024e-11
"BPB1_02972",682.738097302681,6.41583446825437,0.741987837934439,7.97295341756947,1.5492658277049e-15,3.28670159399744e-14
"BPB1_03985",1375.62995884336,-6.38784563175172,0.289464675889281,-20.3404633524396,5.63951326065924e-92,9.53259660834013e-90
"BPB1_02976",296.892915405416,6.3727554101182,0.849013143250989,6.91715488364597,4.60804207501355e-12,7.83965599775032e-11
"BPB1_04344",848.656769495334,-6.36667712408335,0.229337047849823,-25.581026611649,2.48091515971861e-144,1.18181776699323e-141
"BPB1_04345",908.574662551883,-6.32132929496049,0.22665369990702,-25.6838044000543,1.77317558033849e-145,1.03238222677485e-142
"BPB1_04151",676.096220088982,-6.25166228444386,0.230449251244618,-24.9584767725653,1.72766801902576e-137,6.96383109207306e-135
"BPB1_00486",10.2099363817184,-6.18155071963541,0.871117229999579,-6.52214251305552,6.93101110491307e-11,1.10056055120438e-09
"BPB1_03045",174.882005162811,6.07332685513219,0.576615888553357,9.66557974861712,4.22222429657906e-22,1.2938277961447e-20
"BPB1_04351",780.972297299617,-6.02153608695418,0.264353439024523,-20.8869463069174,7.03780316044723e-97,1.27165822623253e-94
"BPB1_04301",1064.8111102333,-6.01656651176876,0.227118506743367,-24.289374700769,2.53877629721526e-130,7.82540458671058e-128
"BPB1_04017",90.7243424454078,-5.99088724766043,0.492242479198011,-11.1548423382852,6.78129203187684e-29,2.69196744295717e-27
"BPB1_04018",899.430290799773,-5.9874745172713,0.280501440094461,-19.5630885724628,3.19147658263304e-85,4.51982088999922e-83
"BPB1_03997",522.127866733335,-5.97366864313214,0.278983253700692,-19.6200616722485,1.04226667861741e-85,1.56042211313006e-83
"BPB1_03986",1838.85733513352,-5.94953261168673,0.18223826388015,-29.903339154233,1.78060864199862e-196,1.86607785681455e-193
"BPB1_00053",85.4492609712721,-5.89723512389614,0.384138902996426,-14.0502174650776,7.67978474937393e-45,5.36560961156259e-43
"BPB1_04153",670.452134980639,-5.89647226825586,0.243786394825652,-22.1360682252807,1.42105797129996e-108,3.54587798552942e-106
"BPB1_04019",230.691432700798,-5.88427250126381,0.378772953805456,-14.2150395036634,7.3909722853888e-46,5.23360740208612e-44
"BPB1_04016",761.723222453718,-5.88304398560863,0.268527362263595,-20.0465380519564,2.16389189613413e-89,3.54337297991963e-87
"BPB1_03996",1042.18940015732,-5.88141916259105,0.310064028952035,-17.3558318931072,1.78200347266918e-67,1.8675396393573e-65
"BPB1_03998",1586.50598194775,-5.84995299858346,0.255674381088641,-20.9248692645848,3.17934893573479e-97,5.94992443687511e-95
"BPB1_03995",541.007489794936,-5.83315616720428,0.271027582680359,-19.6775402505583,3.35914827018599e-86,5.17704027522783e-84
"BPB1_04299",703.79887931033,-5.80472106629923,0.275148116078865,-19.2795107664075,7.98279236260249e-83,1.07255979435992e-80
"BPB1_04302",1028.29931705078,-5.80186145911523,0.206896790508078,-25.6256341439391,7.90404168632231e-145,4.14171784363289e-142
"BPB1_04020",270.453146752316,-5.79058595695817,0.343140431900844,-15.4181363229355,1.23620591065835e-53,1.06192114292619e-51
"BPB1_04300",213.457203034155,-5.78555942057524,0.361804113594839,-14.6088980803966,2.46472147506183e-48,1.81903387736958e-46
"BPB1_04155",618.826325751937,-5.71281459608583,0.252469888022239,-20.6472725794003,1.0328888243505e-94,1.80411247986554e-92
"BPB1_05893",758.151247095238,-5.67049882128765,0.290424061120219,-17.8032729152815,6.66569476774906e-71,7.27671678812606e-69
"BPB1_01520",463.15262378668,-5.6658855379836,0.28539563551267,-18.1007867506588,3.14148411549148e-73,3.57856016634247e-71
"BPB1_03043",1590.01691636861,5.62018567765614,0.48042797384169,10.6575510928582,1.60775131535789e-26,5.61641126165023e-25
"BPB1_03994",250.977896321862,-5.55932620166967,0.327546416918773,-15.4461350829685,8.01049036870231e-54,7.11440161559323e-52
"BPB1_04298",156.040702372449,-5.54911799940031,0.382383575807838,-13.2043275884257,8.28360918804973e-40,5.22965206570851e-38
"BPB1_00493",12.6344542348289,-5.54394001386177,0.87225225162065,-5.78266207337396,7.35276719630388e-09,1.00859947928357e-07
"BPB1_04343",899.082870841482,-5.52935013371096,0.236080104223306,-21.3035746924007,1.05180141123062e-100,2.11978438263402e-98
"BPB1_04021",730.593219614806,-5.50298449598918,0.270239584033639,-18.5131446004832,1.6177503415196e-76,1.92659358853698e-74
"BPB1_04352",637.562190289537,-5.50224008755502,0.263705369541262,-18.969049042334,3.0741749849937e-80,3.92894559057731e-78
